country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,9657.086,9736.481,9797.423,9852.995,9901.726,9938.0,9971.741,10004.41,10042.26,10097.35,10215.76,10331.73,10407.04,10467.78,10518.68,10568.7,10613.92,10669.25,10727.33,10765.18,10813.36,10868.67,10905.46,10931.15,10958.83,10991.66,11024.27,11051.59,11082.07,11110.08,11121.85,11100.28,11034.66,10955.61,10883.81,10811.6,10774.03,10751.3,10672.6
Greenland,50.178999999999995,50.7812,51.3834,51.9856,52.5878,53.19,53.6728,54.1556,54.6384,55.1212,55.604,55.6454,55.6868,55.7282,55.7696,55.81100000000001,55.8838,55.9566,56.0294,56.1022,56.175,56.3302,56.4854,56.6406,56.7958,56.951,56.8884,56.8258,56.7632,56.7006,56.638000000000005,56.5858,56.5336,56.4814,56.4292,56.376999999999995,56.456,56.535,56.6
Grenada,89.005,91.1852,93.3654,95.5456,97.7258,99.906,99.1814,98.4568,97.7322,97.0076,96.28299999999999,97.0774,97.8718,98.6662,99.4606,100.255,100.5278,100.8006,101.0734,101.3462,101.619,101.885,102.15100000000001,102.417,102.68299999999999,102.949,103.2946,103.6402,103.9858,104.3314,104.677,105.1062,105.5354,105.9646,106.3938,106.823,107.32,107.81700000000001,108.3
Guadeloupe,330.17699999999996,335.376,340.575,345.773,350.972,356.171,362.11199999999997,368.05400000000003,373.995,379.93699999999995,385.87800000000004,389.29,392.702,396.11300000000006,399.525,402.93699999999995,407.279,411.621,415.962,420.30400000000003,424.64599999999996,427.62699999999995,430.608,433.59,436.57099999999997,439.55199999999996,441.785,444.01800000000003,446.25199999999995,448.485,450.718,450.658,450.598,450.538,450.478,450.418,450.02,449.62199999999996,449.2
Guatemala,7283.459,7474.779,7666.1,7857.419,8048.74,8240.06,8444.811,8649.562,8854.312,9059.063,9263.813,9492.748,9721.684000000001,9950.618,10179.55,10408.49,10656.94,10905.39,11153.84,11402.29,11650.74,11939.8,12228.86,12517.91,12806.97,13096.03,13402.91,13709.78,14016.66,14323.54,14630.42,14954.82,15279.22,15603.62,15928.03,16252.43,16584.11,16915.78,17247.5
Guinea,4511.902,4626.475,4741.048,4855.621,4970.194,5084.767,5276.031999999999,5467.298000000001,5658.563,5849.829000000001,6041.094,6407.11,6773.125,7139.142,7505.156999999999,7871.173000000001,8058.647,8246.122,8433.597,8621.071,8808.546,8982.786,9157.025,9331.266,9505.505,9679.745,9902.63,10125.51,10348.4,10571.29,10794.17,11053.64,11313.12,11572.59,11832.06,12091.53,12423.39,12755.25,13087.1
Guinea-Bissau,800.8539999999999,820.585,840.316,860.047,879.778,899.5089999999999,922.063,944.617,967.172,989.7260000000001,1012.28,1037.25,1062.22,1087.19,1112.15,1137.12,1158.34,1179.56,1200.79,1222.01,1243.23,1270.75,1298.27,1325.79,1353.32,1380.84,1415.85,1450.85,1485.86,1520.87,1555.88,1598.81,1641.74,1684.67,1727.6,1770.53,1816.56,1862.59,1908.6
Guyana,780.153,778.2094,776.2658,774.3222,772.3786,770.435,765.0098,759.5846,754.1594,748.7342,743.309,746.9054,750.5018,754.0982,757.6946,761.291,759.693,758.095,756.497,754.8989999999999,753.301,752.83,752.3589999999999,751.888,751.4169999999999,750.946,750.068,749.19,748.312,747.434,746.556,750.9476,755.3392,759.7308,764.1224,768.5139999999999,772.9676,777.4212,781.9
Haiti,5688.835999999999,5827.908,5966.979,6106.0509999999995,6245.1230000000005,6384.195,6527.302,6670.41,6813.517,6956.625,7099.732,7243.746999999999,7387.762,7531.776,7675.791,7819.806,7965.685,8111.563,8257.442,8403.321,8549.2,8692.041,8834.882,8977.723,9120.563,9263.404,9410.646,9557.89,9705.132,9852.374,9999.617,10141.91,10284.19,10426.48,10568.77,10711.06,10843.09,10975.11,11107.1
Honduras,3678.2859999999996,3798.867,3919.447,4040.028,4160.608,4281.189,4416.017,4550.845,4685.6720000000005,4820.5,4955.3279999999995,5106.073,5256.816999999999,5407.562,5558.307,5709.0509999999995,5872.097,6035.144,6198.19,6361.236999999999,6524.283,6694.111999999999,6863.941999999999,7033.771,7203.601,7373.43,7537.7,7701.969,7866.2390000000005,8030.508000000001,8194.778,8347.988000000001,8501.198,8654.408000000001,8807.619,8960.829,9112.517,9264.203000000001,9415.9
Hong Kong,4881.2429999999995,4978.247,5062.055,5139.122,5215.873,5298.043000000001,5386.455,5477.222,5567.704000000001,5655.368,5737.291,5810.302,5876.689,5942.420999999999,6013.483,6096.526999999999,6198.13,6313.158,6429.098000000001,6533.17,6613.469,6665.903,6698.808000000001,6721.668000000001,6744.106,6774.215,6811.175,6849.721,6889.456,6930.179,6971.474,7012.431,7053.424,7096.078,7142.028,7193.094,7251.078,7314.575,7436.7
Hungary,10711.54,10711.61,10704.19,10686.79,10665.42,10646.54,10628.2,10610.64,10594.52,10455.0,10373.78,10373.46,10368.26,10355.64,10341.69,10327.03,10308.74,10287.79,10263.28,10233.56,10208.3,10184.39,10154.54,10126.35,10104.75,10084.45,10070.07,10053.19,10036.38,10020.57,9996.446,9952.099,9917.471,9889.152,9863.743,9839.893,9809.908000000001,9785.567,9773.0
Iceland,228.262,230.926,233.59,236.25400000000002,238.918,241.582,244.2742,246.9664,249.6586,252.3508,255.043,257.5602,260.0774,262.5946,265.1118,267.629,270.1902,272.7514,275.3126,277.8738,280.435,283.3438,286.2526,289.1614,292.0702,294.97900000000004,300.0488,305.1186,310.1884,315.2582,320.328,322.311,324.29400000000004,326.277,328.26,330.24300000000005,332.44300000000004,334.64300000000003,338.0
India,701000.1,717475.8,734411.8,751664.2,769083.6,786550.8,804105.1,821821.0,839658.6,857573.2,875527.8,893522.4,911582.1,929714.1,947923.9,966227.8,984674.4,1003248.0,1021863.0,1040428.0,1058877.0,1077256.0,1095606.0,1113860.0,1131950.0,1149838.0,1167619.0,1185306.0,1202750.0,1219792.0,1236287.0,1252184.0,1267587.0,1282609.0,1297371.0,1311964.0,1326364.0,1340509.0,1355967.0
Indonesia,147881.9,151365.8,154904.3,158453.2,161966.4,165404.9,168770.7,172089.3,175366.0,178605.5,181811.7,184984.7,188121.8,191222.0,194285.2,197307.3,200272.8,203186.2,206074.2,208965.2,211880.8,214810.5,217741.0,220685.4,223658.2,226670.2,229717.1,232791.8,235899.8,239046.1,242242.5,245521.4,248871.4,252235.5,255553.9,258777.6,261914.9,264997.2,267130.2
Iran,38668.22,40403.12,42138.01,43872.91,45607.8,47342.7,49119.4,50896.09,52672.79,54449.49,56226.18,57096.08,57965.97,58835.86,59705.75,60575.64,61686.89,62798.13,63909.37,65020.61,66131.85,66989.84,67847.84,68705.83,69563.82,70421.81,71250.95,72080.09,72909.23,73738.37,74567.51,75526.11,76484.7,77443.3,78401.89,79360.48,80205.81,81051.14,81896.5
Iraq,13653.35,14044.12,14432.47,14815.66,15190.39,15555.8,15909.76,16257.07,16612.32,16994.95,17419.11,17889.46,18402.73,18955.09,19539.34,20149.34,20783.07,21439.57,22114.32,22802.06,23497.59,24208.18,24931.92,25644.5,26313.84,26922.28,27448.12,27911.25,28385.75,28973.16,29741.98,30725.3,31890.01,33157.05,34411.95,35572.26,36610.63,37552.78,39339.8
Ireland,3417.8,3458.05,3488.95,3513.65,3534.829,3537.091,3541.083,3538.755,3522.474,3510.0,3515.724,3537.5490000000004,3561.164,3577.9840000000004,3592.1929999999998,3611.647,3641.8709999999996,3678.974,3717.5229999999997,3760.48,3812.0759999999996,3874.607,3940.008,4004.6040000000003,4080.614,4171.975,4290.6320000000005,4413.647,4497.488,4538.888,4562.835999999999,4582.385,4602.095,4627.3240000000005,4662.710999999999,4708.039000000001,4762.597,4813.139,4862.1
Israel,3700.9190000000003,3767.7490000000003,3834.579,3901.408,3968.238,4035.0679999999998,4117.725,4200.3820000000005,4283.039000000001,4365.696,4448.353,4612.956,4777.559,4942.162,5106.764,5271.366999999999,5406.284000000001,5541.2,5676.116999999999,5811.033,5945.95,6062.656,6179.361999999999,6296.066999999999,6412.773,6529.479,6692.8730000000005,6856.266,7019.659000000001,7183.053000000001,7346.446,7472.855,7599.264,7725.672,7852.081,7978.49,8113.899,8249.308,8454.0
Italy,56445.23,56507.27,56548.42,56564.34,56579.62,56594.26,56595.74,56603.79,56634.27,56677.43,56725.46,56762.12,56803.13,56834.46,56843.65,56844.28,56864.3,56893.88,56907.33,56918.12,56946.75,56977.45,57076.89,57358.88,57732.68,57993.16,58163.92,58491.95,58870.2,59119.06,59299.23,59383.14,59576.1,60371.13,60790.76,60714.32,60617.98,60523.52,60544.3
Jamaica,2163.045,2198.1639999999998,2233.282,2268.401,2303.519,2338.638,2355.759,2372.88,2390.0,2407.121,2424.242,2446.882,2469.521,2492.161,2514.8,2537.44,2561.325,2585.21,2609.094,2632.9790000000003,2656.864,2674.426,2691.988,2709.5490000000004,2727.111,2744.673,2759.18,2773.688,2788.195,2802.703,2817.21,2828.155,2839.1,2850.0440000000003,2860.989,2871.934,2880.179,2888.4240000000004,2896.7
Japan,117933.5,118848.9,119712.4,120521.2,121273.0,121963.5,122583.6,123137.2,123640.4,124110.1,124560.2,124988.1,125385.0,125752.0,126090.8,126401.7,126679.7,126925.2,127146.4,127351.7,127548.9,127740.2,127920.2,128083.5,128224.3,128338.5,128429.1,128498.8,128542.9,128556.9,128537.3,128487.2,128408.4,128296.7,128147.8,127958.0,127728.4,127461.2,127141.2
Jordan,2374.422,2478.735,2583.047,2687.36,2791.672,2895.985,3028.9040000000005,3161.824,3294.743,3427.663,3560.5820000000003,3763.046,3965.511,4167.975,4370.439,4572.904,4678.9490000000005,4784.995,4891.04,4997.085,5103.13,5225.326,5347.522,5469.719,5591.915,5714.111,6007.767,6301.422,6595.079000000001,6888.734,7182.39,7577.772,7973.155,8368.537,8763.92,9159.302,9369.174,9579.046,9788.9
Kenya,16417.2,17109.17,17801.15,18493.13,19185.11,19877.08,20646.58,21416.08,22185.58,22955.08,23724.58,24533.32,25342.07,26150.81,26959.55,27768.3,28607.55,29446.8,30286.05,31125.3,31964.56,32896.62,33828.69,34760.76,35692.83,36624.89,37706.05,38787.21,39868.36,40949.52,42030.68,43200.21,44369.74,45539.27,46708.8,47878.34,49056.93,50235.52,50989.5
Kuwait,1368.6770000000001,1441.996,1515.316,1588.635,1661.955,1735.274,1807.2879999999998,1879.3020000000001,1951.316,2023.33,2095.344,1997.455,1899.567,1801.6779999999999,1703.79,1605.901,1693.745,1781.59,1869.434,1957.279,2045.1229999999998,2090.138,2135.153,2180.1679999999997,2225.183,2270.198,2414.535,2558.8720000000003,2703.21,2847.547,2991.884,3160.625,3329.367,3498.1079999999997,3666.85,3835.591,3922.587,4009.583,4156.0
Laos,3258.1440000000002,3344.095,3430.046,3515.9959999999996,3601.947,3687.8979999999997,3802.013,3916.1279999999997,4030.242,4144.357,4258.472,4377.162,4495.853,4614.542,4733.233,4851.923,4947.399,5042.875,5138.352,5233.8279999999995,5329.304,5414.249,5499.193,5584.137,5669.081999999999,5754.026,5852.476,5950.925,6049.375,6147.8240000000005,6246.274,6329.813,6413.351,6496.89,6580.428000000001,6663.967,6764.138000000001,6864.309,6964.5
Lebanon,2588.929,2601.542,2614.156,2626.7690000000002,2639.382,2651.995,2682.205,2712.415,2742.625,2772.8340000000003,2803.0440000000003,2948.111,3093.178,3238.2459999999996,3383.313,3528.38,3591.26,3654.139,3717.0190000000002,3779.8979999999997,3842.778,4013.975,4185.1720000000005,4356.369000000001,4527.566,4698.763,4749.623,4800.482,4851.342000000001,4902.201,4953.061,5268.984,5584.908,5900.831,6216.754,6532.678000000001,6591.231,6649.785,5952.5
Lesotho,1340.255,1377.43,1414.605,1451.781,1488.9560000000001,1526.131,1561.654,1597.1770000000001,1632.701,1668.224,1703.747,1742.717,1781.6870000000001,1820.658,1859.628,1898.598,1925.4389999999999,1952.28,1979.122,2005.963,2032.8039999999999,2025.4660000000001,2018.128,2010.79,2003.4520000000002,1996.114,1996.007,1995.901,1995.7939999999999,1995.6879999999999,1995.5810000000001,2008.269,2020.957,2033.645,2046.3329999999999,2059.021,2075.667,2092.312,2263.2
Liberia,1888.31,1949.16,2010.01,2070.86,2131.71,2192.55,2173.49,2154.43,2135.36,2116.3,2097.23,2092.48,2087.73,2082.98,2078.23,2073.48,2235.69,2397.9,2560.11,2722.31,2884.52,2959.86,3035.21,3110.55,3185.89,3261.23,3398.61,3535.99,3673.37,3810.75,3948.12,4058.42,4168.72,4279.02,4389.32,4499.62,4620.47,4741.31,4862.2
Libya,3219.466,3350.329,3481.192,3612.055,3742.9179999999997,3873.781,3986.357,4098.933,4211.509,4324.085,4436.661,4539.088,4641.516,4743.943,4846.371,4948.798,5030.617,5112.435,5194.254,5276.071999999999,5357.891,5446.036,5534.18,5622.325,5710.469,5798.6140000000005,5878.424,5958.233,6038.043000000001,6117.853,6197.6630000000005,6241.793000000001,6285.924,6330.054,6374.185,6418.315,6508.91,6599.505999999999,6491.3
Luxembourg,364.325,365.3188,365.5062,365.665,366.04900000000004,366.832,368.6412,371.0625,373.8125,377.65,382.4875,387.65,392.8187,398.1562,403.6063,409.3687,414.8813,420.1,425.3625,431.2563,436.975,442.1562,446.7062,452.4625,458.8788,466.14,473.5241,480.9445,489.8621,498.8538,508.1747,519.9731,532.4692,544.9396,557.9788,571.2649,580.2098,586.4232,592.5
Macau,238.118,247.2106,256.3032,265.3958,274.4884,283.58099999999996,295.6518,307.7226,319.7934,331.8642,343.935,352.2852,360.6354,368.9856,377.3358,385.686,394.1446,402.6032,411.0618,419.5204,427.97900000000004,438.895,449.811,460.727,471.64300000000003,482.559,493.441,504.32300000000004,515.205,526.087,536.969,549.7636,562.5582,575.3528,588.1474,600.942,611.1286,621.3152,631.5
Madagascar,8716.553,8985.940999999999,9255.33,9524.718,9794.106,10063.5,10370.52,10677.55,10984.58,11291.61,11598.63,11973.99,12349.34,12724.69,13100.05,13475.4,13933.68,14391.96,14850.24,15308.52,15766.81,16280.79,16794.77,17308.76,17822.74,18336.72,18899.71,19462.69,20025.67,20588.66,21151.64,21768.13,22384.62,23001.11,23617.6,24234.09,24925.43,25616.77,26308.1
Malawi,6250.44,6454.005,6657.571,6861.1359999999995,7064.701999999999,7268.267,7695.514,8122.76,8550.007,8977.253,9404.5,9492.483,9580.466,9668.449,9756.431999999999,9844.415,10105.28,10366.15,10627.02,10887.89,11148.76,11444.2,11739.64,12035.07,12330.51,12625.95,13008.68,13391.42,13774.15,14156.88,14539.61,14980.75,15421.89,15863.03,16304.17,16745.3,17222.23,17699.16,19199.7
Malaysia,13840.53,14179.78,14519.64,14871.16,15245.58,15654.21,16104.16,16587.17,17088.79,17594.27,18090.57,18576.14,19059.77,19546.94,20042.91,20553.56,21084.64,21631.62,22183.56,22729.21,23258.5,23769.37,24268.73,24762.24,25255.39,25754.3,26264.92,26782.55,27295.83,27793.23,28263.59,28701.38,29114.63,29515.03,29914.48,30323.4,30742.54,31164.95,32089.7
Maldives,154.0,160.0,166.0,172.0,178.0,184.0,190.4,196.8,203.2,209.6,216.0,221.8,227.6,233.4,239.2,245.0,250.6,256.2,261.8,267.4,273.0,278.0,283.0,288.0,293.0,298.0,303.6,309.2,314.8,320.4,326.0,332.4,338.8,345.2,351.6,358.0,364.0,370.0,376.0
Mali,7090.126,7238.479,7386.831,7535.184,7683.536999999999,7831.889,7958.549,8085.2080000000005,8211.868,8338.528,8465.188,8693.04,8920.893,9148.745,9376.598,9604.45,9877.098,10149.75,10422.39,10695.04,10967.69,11333.9,11700.12,12066.33,12432.55,12798.76,13254.03,13709.29,14164.56,14619.82,15075.08,15553.65,16032.21,16510.78,16989.34,17467.9,18031.16,18594.41,19157.7
Malta,318.028,319.936,331.85900000000004,329.189,331.99699999999996,340.907,343.334,345.63599999999997,349.014,352.43,355.91,359.543,362.977,366.431,376.43300000000005,378.404,381.405,384.176,386.397,388.759,391.415,394.64099999999996,397.296,399.86699999999996,402.668,404.999,405.616,407.832,410.926,414.027,414.98900000000003,417.546,422.509,429.42400000000004,439.691,450.415,460.29699999999997,475.70099999999996,477.3
Martinique,325.454,328.338,331.223,334.10699999999997,336.99199999999996,339.876,343.591,347.305,351.02,354.73400000000004,358.449,360.506,362.56199999999995,364.619,366.675,368.73199999999997,372.38599999999997,376.041,379.695,383.35,387.004,389.01300000000003,391.02099999999996,393.03,395.038,397.04699999999997,396.62,396.19199999999995,395.765,395.337,394.91,393.096,391.283,389.469,387.656,385.842,385.765,385.68800000000005,385.6
Mauritania,1534.08,1581.26,1628.43,1675.6,1722.77,1769.94,1821.98,1874.02,1926.06,1978.1,2030.14,2089.53,2148.91,2208.3,2267.69,2327.07,2403.53,2479.99,2556.45,2632.9,2709.36,2793.63,2877.9,2962.18,3046.45,3130.72,3226.49,3322.25,3418.01,3513.78,3609.54,3724.1,3838.66,3953.22,4067.78,4182.34,4302.63,4422.91,4543.2
Mauritius,966.0310000000001,975.9772,985.9234,995.8696,1005.816,1015.762,1023.783,1031.8039999999999,1039.826,1047.847,1055.868,1070.4289999999999,1084.99,1099.5510000000002,1114.112,1128.673,1139.9669999999999,1151.262,1162.556,1173.851,1185.145,1192.517,1199.888,1207.26,1214.631,1222.003,1227.193,1232.384,1237.5739999999998,1242.765,1247.955,1250.255,1252.555,1254.856,1257.156,1259.4560000000001,1261.9180000000001,1264.381,1268.3
Mexico,67967.02,69612.39,71264.75,72916.27,74558.79,76185.42,77796.68,79397.05,80987.2,82567.59,84139.39,85705.88,87265.92,88813.73,90343.42,91848.95,93326.09,94779.3,96217.02,97648.28,99077.16,100487.5,101878.4,103276.1,104707.7,106199.8,107767.5,109391.5,111040.6,112682.5,114291.5,115875.7,117451.5,119010.4,120543.4,122042.9,123510.2,124950.3,130955.8
Mongolia,1689.622,1736.0739999999998,1782.526,1828.977,1875.4289999999999,1921.881,1974.3339999999998,2026.787,2079.24,2131.692,2184.145,2206.924,2229.703,2252.481,2275.26,2298.0389999999998,2317.9179999999997,2337.798,2357.677,2377.5570000000002,2397.436,2423.238,2449.04,2474.842,2500.644,2526.446,2563.687,2600.927,2638.1679999999997,2675.409,2712.65,2765.495,2818.341,2871.1859999999997,2924.031,2976.877,3023.382,3069.888,3116.4
Morocco,20019.85,20523.35,21026.86,21530.37,22033.87,22537.38,23005.73,23474.08,23942.43,24410.78,24879.14,25318.36,25757.57,26196.79,26636.01,27075.23,27430.11,27784.99,28139.87,28494.74,28849.62,29183.91,29518.2,29852.49,30186.78,30521.07,30898.78,31276.5,31654.21,32031.93,32409.64,32888.38,33367.11,33845.85,34324.59,34803.32,35256.8,35710.28,36163.8
Mozambique,11630.19,11857.03,12083.87,12310.71,12537.55,12764.39,12808.97,12853.55,12898.13,12942.71,12987.29,13486.49,13985.69,14484.89,14984.09,15483.29,15929.01,16374.74,16820.47,17266.2,17711.93,18268.33,18824.73,19381.12,19937.53,20493.93,21101.46,21708.98,22316.51,22924.04,23531.57,24233.66,24935.75,25637.83,26339.92,27042.0,27884.69,28727.38,30589.8
Myanmar,34224.31,34974.87,35725.42,36475.98,37226.53,37977.09,38648.71,39320.33,39991.95,40663.58,41335.2,41848.48,42361.76,42875.04,43388.32,43901.6,44465.22,45028.84,45592.46,46156.08,46719.7,47165.75,47611.79,48057.84,48503.88,48949.93,49280.1,49610.28,49940.46,50270.64,50600.82,51016.8,51432.78,51848.76,52264.75,52680.73,53026.54,53372.36,53846.4
Nepal,14902.16,15266.52,15630.88,15995.24,16359.6,16723.96,17129.05,17534.14,17939.23,18344.32,18749.41,19278.8,19808.2,20337.59,20866.99,21396.38,21865.29,22334.2,22803.1,23272.01,23740.91,24120.79,24500.66,24880.54,25260.41,25640.29,25916.86,26193.43,26470.0,26746.57,27023.14,27349.77,27676.39,28003.02,28329.65,28656.28,28977.07,29297.87,29618.7
Netherlands,14164.5,14256.87,14319.41,14373.95,14431.62,14501.08,14582.99,14677.51,14771.38,14859.82,14966.25,15084.63,15197.92,15303.16,15393.16,15467.73,15539.65,15621.54,15720.46,15825.05,15940.9,16060.96,16159.84,16233.49,16287.72,16323.46,16349.07,16387.62,16455.64,16541.54,16625.5,16702.39,16761.11,16810.64,16873.94,16949.72,17043.11,17143.74,17248.9
Netherlands Antilles,173.0,174.8,176.6,178.4,180.2,182.0,183.8,185.6,187.4,189.2,191.0,190.8,190.6,190.4,190.2,190.0,188.0,186.0,184.0,182.0,180.0,181.2,182.4,183.6,184.8,186.0,189.0,192.0,195.0,198.0,201.0,202.4,203.8,205.2,206.6,208.0,208.8,209.6,210.4
New Zealand,3152.973,3173.3790000000004,3198.605,3226.0570000000002,3252.7009999999996,3276.708,3297.9790000000003,3318.72,3342.772,3371.421,3444.224,3515.325,3517.316,3557.84,3603.145,3655.1929999999998,3712.3190000000004,3765.1659999999997,3804.175,3830.005,3850.841,3876.325,3924.3559999999998,3998.65,4067.164,4119.126,4166.590999999999,4211.696,4248.376,4288.241,4335.4220000000005,4374.721,4401.456,4431.855,4486.002,4566.039000000001,4659.575,4759.503,4848.6
Nicaragua,3249.91,3341.7459999999996,3433.583,3525.4190000000003,3617.255,3709.091,3796.1859999999997,3883.281,3970.375,4057.47,4144.565,4238.098,4331.63,4425.163,4518.695,4612.228,4695.142,4778.055,4860.969,4943.8820000000005,5026.795999999999,5097.302,5167.809,5238.315,5308.821999999999,5379.328,5451.007,5522.686,5594.365,5666.044,5737.723000000001,5806.585,5875.448,5944.31,6013.172,6082.035,6148.941,6215.848000000001,6282.8
Niger,5988.904,6174.309,6359.713000000001,6545.118,6730.522,6915.927,7135.314,7354.701,7574.0869999999995,7793.474,8012.861,8305.756,8598.649,8891.544,9184.438,9477.333,9852.461,10227.59,10602.72,10977.84,11352.97,11806.07,12259.16,12712.26,13165.35,13618.45,14179.88,14741.3,15302.73,15864.15,16425.58,17119.86,17814.13,18508.41,19202.69,19896.96,20732.51,21568.06,22403.6
Nigeria,73423.63,75451.46,77479.3,79507.12,81534.95,83562.78,85892.72,88222.65,90552.59,92882.52,95212.45,97759.62,100306.8,102854.0,105401.2,107948.3,110815.4,113682.5,116549.6,119416.8,122283.9,125600.1,128916.3,132232.5,135548.8,138865.0,142792.7,146720.3,150647.9,154575.6,158503.2,163030.0,167556.9,172083.8,176610.6,181137.5,186137.9,191138.3,196164.0
North Korea,17472.1,17753.2,18034.2,18315.2,18596.2,18877.2,19160.4,19443.6,19726.7,20009.9,20293.1,20606.9,20920.8,21234.6,21548.4,21862.3,22075.7,22289.0,22502.4,22715.7,22929.1,23124.1,23319.1,23514.1,23709.2,23904.2,24041.7,24179.1,24316.6,24454.1,24591.6,24722.1,24852.5,24983.0,25113.4,25243.9,25363.3,25482.7,25602.1
Norway,4087.3,4101.542,4116.718,4129.913,4141.536,4154.184,4169.396,4189.751,4212.287,4228.454000000001,4243.562,4264.707,4289.592000000001,4315.197,4339.562,4361.877,4384.18,4408.267,4434.931,4466.059,4494.083,4516.33,4541.683,4568.005,4595.523,4627.523,4665.791,4716.157,4775.972,4836.094,4897.015,4961.282999999999,5026.748,5086.709,5144.5470000000005,5194.135,5240.468,5281.630999999999,5332.3
