country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Afghanistan;0,71;0,72;0,71;0,75;0,76;0,77;0,71;0,76;0,74;0,75;0,76;0,68;0,47;0,47;0,47;0,41;0,36;0,32;0,30;0,30;0,31;0,50;0,56;0,63;0,57;0,59;0,64;0,75;0,54;0,78;0,75;0,60;0,71;0,80;0,90;0,99;1,03;1,05;
Albania;2,92;3,02;3,09;3,17;3,24;3,32;3,37;3,98;3,71;3,85;2,82;3,48;3,19;3,28;3,73;4,16;5,67;4,98;4,87;5,23;4,55;3,52;3,48;5,12;5,41;5,32;4,95;2,76;3,76;5,20;7,67;4,04;4,73;6,96;4,73;5,87;7,14;4,48;
Algeria;0,25;0,36;0,47;0,23;0,52;0,64;0,25;0,49;0,18;0,26;0,13;0,29;0,20;0,35;0,16;0,19;0,13;0,07;0,21;0,20;0,05;0,07;0,06;0,26;0,25;0,55;0,22;0,22;0,28;0,30;0,17;0,50;0,62;0,33;0,25;0,14;0,07;0,06;
American Samoa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Angola;0,53;0,53;0,60;0,60;0,60;0,60;0,66;0,66;0,66;0,67;0,72;0,72;0,83;0,88;0,89;0,89;0,92;0,87;1,05;0,89;0,90;1,01;1,13;1,23;1,73;2,20;2,64;2,47;3,10;3,06;3,67;3,97;3,73;4,72;5,03;5,08;5,91;7,78;
Antarctica;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Antigua and Barbuda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Argentina;17,41;16,48;18,89;18,51;20,56;20,54;20,90;21,72;14,98;12,94;17,80;16,16;19,29;23,73;27,21;26,68;23,03;28,19;26,64;21,72;29,17;37,27;36,36;34,48;31,34;34,96;40,37;32,82;31,69;34,89;35,45;41,43;38,94;42,90;42,58;39,80;38,64;41,55;
Australia;13,21;14,34;13,96;12,41;12,38;13,93;14,77;13,86;14,11;15,11;14,76;16,43;15,86;17,15;16,86;16,45;16,55;17,70;16,67;17,64;17,33;17,75;17,30;17,75;17,75;18,99;19,68;18,15;16,39;14,50;16,28;18,80;17,02;21,27;21,85;16,93;18,74;19,54;
Austria;28,81;30,32;30,40;30,10;29,15;31,17;31,42;26,26;36,15;35,69;32,36;32,37;35,86;37,74;36,60;38,60;35,68;37,59;38,71;42,05;43,07;41,94;41,56;34,82;38,73;39,19;39,26;41,33;42,73;45,37;41,54;37,63;47,22;45,47;44,04;40,51;43,45;41,92;
Bahrain;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Bangladesh;0,63;0,52;0,66;0,66;0,90;0,74;0,45;0,51;0,67;0,91;0,88;0,83;0,79;0,60;0,84;0,60;0,73;0,71;0,86;0,83;0,94;0,98;1,06;1,12;1,21;1,28;1,38;0,74;0,94;0,44;0,78;0,92;0,82;0,94;0,62;0,60;1,02;1,04;
Barbados;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Belgium;0,56;0,65;0,57;0,54;0,57;0,58;0,79;0,93;0,92;0,91;0,99;1,03;1,21;1,13;1,23;1,38;1,29;1,20;1,39;1,54;1,79;2,02;2,02;1,87;2,26;2,54;3,46;4,03;4,80;5,59;5,99;5,99;6,85;6,54;5,96;7,08;7,16;7,43;
Belize;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,08;0,10;0,11;0,11;0,12;0,11;0,11;0,11;0,08;0,08;0,08;0,20;0,20;0,22;0,20;0,34;0,34;0,30;0,34;0,35;0,36;0,38;0,39;
Benin;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;
Bermuda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Bhutan;0,01;0,01;0,01;0,01;0,01;0,01;0,30;1,17;1,53;1,53;1,54;1,56;1,60;1,60;1,66;1,72;1,85;1,82;1,78;1,78;1,79;1,92;2,18;2,50;2,33;2,62;4,47;6,49;6,89;6,93;7,26;6,98;6,75;7,53;7,15;7,73;7,88;7,65;
Bolivia;1,12;1,17;1,22;1,20;1,22;1,18;1,17;1,16;1,30;1,29;1,27;1,41;1,38;1,40;1,38;1,32;1,49;1,61;1,55;1,83;2,01;2,16;2,24;2,02;2,18;2,00;2,20;2,36;2,38;2,39;2,28;2,44;2,44;2,70;2,42;2,63;2,00;2,48;
Botswana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Brazil;130,36;131,43;142,01;153,06;167,97;179,64;183,90;187,38;200,53;205,97;208,50;219,60;226,01;237,67;245,67;256,96;269,86;283,56;296,06;298,44;309,20;274,18;293,45;314,45;330,07;347,67;360,04;388,30;385,68;409,68;430,75;456,28;446,43;427,48;415,70;404,95;427,74;419,45;
British Virgin Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Brunei;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Bulgaria;3,67;3,58;3,02;3,32;3,23;2,21;2,30;2,51;2,57;2,66;1,86;2,42;2,04;1,92;1,45;2,29;2,89;2,73;3,07;2,75;2,66;1,72;2,18;3,01;3,16;4,31;4,20;2,85;2,81;3,44;5,04;2,94;3,26;4,15;4,76;5,88;4,26;3,20;
Burkina Faso;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,02;0,05;0,07;0,09;0,11;0,12;0,08;0,12;0,10;0,05;0,06;0,10;0,10;0,10;0,08;0,11;0,14;0,13;0,12;0,08;0,10;0,11;0,09;0,09;0,14;0,13;
Burundi;0,00;0,00;0,00;0,02;0,04;0,05;0,06;0,09;0,10;0,10;0,11;0,11;0,10;0,11;0,11;0,12;0,12;0,12;0,11;0,10;0,10;0,11;0,13;0,10;0,09;0,10;0,09;0,12;0,11;0,12;0,15;0,13;0,15;0,15;0,15;0,14;0,15;0,19;
Cambodia;0,05;0,05;0,06;0,04;0,03;0,04;0,04;0,05;0,05;0,05;0,06;0,06;0,07;0,07;0,07;0,07;0,08;0,06;0,05;0,04;0,05;0,03;0,03;0,05;0,04;0,06;0,06;0,06;0,06;0,06;0,05;0,07;0,53;1,02;1,85;2,02;2,64;2,76;
Cameroon;1,35;1,79;2,03;2,00;2,11;2,30;2,30;2,30;2,49;2,60;2,61;2,64;2,62;2,63;2,66;2,73;2,84;3,06;3,09;3,30;3,41;3,44;3,15;3,49;3,88;3,73;4,50;3,89;4,27;4,05;4,28;4,41;3,53;4,11;4,59;4,32;4,57;4,56;
Canada;252,23;264,94;257,22;265,34;285,59;302,37;309,40;315,36;305,81;290,92;297,83;309,27;317,68;325,18;332,20;338,23;357,95;354,09;335,90;350,40;363,15;338,60;356,10;343,13;346,25;367,48;358,04;372,36;380,89;372,77;358,34;382,24;386,66;397,82;391,31;391,17;396,04;396,00;
Cape Verde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Cayman Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Central African Republic;0,07;0,07;0,07;0,06;0,07;0,06;0,08;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,12;0,13;0,14;0,14;0,14;0,14;0,13;0,15;0,15;0,14;0,17;0,17;0,17;0,15;
Chad;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Chile;7,44;7,69;8,59;9,13;9,52;10,54;11,57;12,28;11,67;9,81;12,82;14,03;18,31;18,77;18,59;21,50;20,32;20,50;16,96;14,45;20,49;22,86;23,99;23,26;23,79;28,01;30,27;25,60;27,03;29,32;23,89;25,61;24,83;25,44;28,14;29,02;28,77;26,95;
China;57,62;64,85;73,66;85,54;85,93;91,48;93,56;99,20;108,01;117,22;125,14;123,85;130,19;149,19;165,70;187,80;186,47;195,23;204,62;213,21;222,61;277,10;287,52;283,27;352,42;395,45;433,82;482,80;594,05;630,18;738,13;719,43;895,13;949,82;1097,98;1167,05;1227,06;1224,99;
Colombia;14,53;14,55;18,32;18,30;20,51;21,81;25,41;21,58;24,82;26,90;27,52;27,48;22,56;28,11;32,42;32,32;35,63;31,85;31,01;33,86;32,25;31,98;34,12;36,31;40,14;39,91;42,85;44,53;46,48;41,18;42,41;50,39;49,06;50,81;48,74;49,45;50,07;58,19;
Comoros;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;
Congo-Brazzaville;0,10;0,10;0,17;0,23;0,25;0,29;0,27;0,28;0,29;0,39;0,49;0,47;0,42;0,36;0,32;0,35;0,45;0,45;0,34;0,25;0,29;0,33;0,39;0,34;0,33;0,35;0,37;0,33;0,37;0,33;0,43;0,78;0,98;0,96;0,94;1,09;1,12;1,19;
Congo-Kinshasa;4,20;4,13;4,08;4,43;4,65;4,98;5,20;5,19;5,20;5,84;5,57;5,21;5,99;5,47;5,24;6,10;6,03;4,97;4,66;5,25;5,94;5,91;6,05;6,10;7,01;7,32;7,45;7,74;7,41;7,72;7,74;7,73;7,53;8,17;8,75;8,85;9,03;9,41;
Cook Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Costa Rica;2,10;2,26;2,36;2,81;2,98;2,75;2,87;2,97;3,02;3,29;3,35;3,63;3,55;3,92;3,91;3,54;3,78;4,78;4,22;5,09;5,63;5,61;5,92;5,91;6,44;6,55;6,60;6,77;7,40;7,28;7,34;7,20;7,34;6,97;6,83;8,17;8,12;8,77;
Cote dIvoire;1,35;1,73;1,73;1,07;0,37;1,34;1,18;1,22;1,23;1,25;1,31;1,24;1,04;1,09;1,16;1,77;1,76;1,86;1,36;1,74;1,75;1,78;1,71;1,81;1,84;1,53;1,61;1,89;2,00;2,18;1,67;1,82;1,84;1,66;1,96;1,44;2,13;1,69;
Cuba;1,00;0,96;1,04;1,06;1,07;1,05;1,16;1,14;1,27;1,28;1,55;1,37;1,42;0,97;0,95;0,76;1,02;1,00;0,88;0,98;1,03;1,00;1,04;0,85;0,88;0,49;0,50;0,53;0,69;0,68;0,55;0,55;0,66;0,81;0,74;0,75;0,75;0,70;
Cyprus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;
Denmark;0,03;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,24;0,38;0,55;0,76;0,84;0,94;1,19;1,38;1,50;1,83;1,89;2,13;2,53;3,18;3,59;4,01;3,92;3,93;4,02;4,13;5,36;5,17;5,19;5,04;5,04;4,96;5,63;7,11;
Djibouti;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Dominica;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,03;0,04;0,03;0,02;0,04;0,03;
Dominican Republic;0,65;0,88;0,83;0,86;0,64;1,07;0,94;0,99;0,87;0,62;0,42;0,58;0,56;1,15;0,57;0,64;0,89;0,71;0,76;1,13;0,79;0,73;0,91;1,24;1,67;1,91;1,78;1,74;1,41;1,49;1,46;1,56;1,81;1,96;1,40;1,01;1,58;2,33;
Ecuador;0,88;0,78;0,89;1,71;3,16;3,76;4,27;4,49;4,74;4,87;4,94;5,03;4,92;5,75;6,50;5,11;6,28;6,47;6,44;7,11;7,53;7,00;7,45;7,11;7,34;6,86;7,74;9,90;11,39;9,35;8,79;11,30;12,41;11,23;11,74;13,37;16,17;20,35;
Egypt;9,70;10,11;10,37;10,09;9,90;8,02;7,92;8,17;7,82;7,92;9,88;8,55;8,46;10,38;10,63;11,30;11,44;11,87;12,10;15,13;13,87;15,29;13,05;13,21;12,84;12,84;13,13;15,70;14,86;13,04;13,23;13,12;13,30;13,53;14,01;13,73;13,03;13,56;
El Salvador;1,07;0,78;0,81;0,84;1,06;1,22;1,28;1,17;1,33;1,46;1,45;0,85;1,00;1,17;1,19;1,46;1,88;1,44;1,57;1,77;1,18;1,17;1,15;1,49;1,44;1,75;2,10;1,88;2,21;1,73;2,36;2,29;2,22;2,23;2,15;1,92;1,90;2,33;
Equatorial Guinea;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,08;0,08;0,08;0,05;0,05;0,03;0,03;0,08;0,25;0,38;0,39;0,57;0,57;
Ethiopia;0,47;0,50;0,57;0,62;0,68;0,75;0,82;0,89;0,96;0,99;1,09;1,10;1,13;1,25;1,34;1,41;1,50;1,55;1,56;1,59;1,67;2,02;2,05;2,31;2,55;2,86;3,28;3,40;3,31;3,54;4,94;6,24;7,35;8,29;8,95;9,61;11,66;12,86;
Falkland Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Faroe Islands;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,07;0,07;0,07;0,08;0,07;0,08;0,08;0,07;0,08;0,08;0,07;0,08;0,08;0,10;0,09;0,09;0,10;0,10;0,10;0,10;0,09;0,07;0,09;0,10;0,09;0,12;0,13;0,11;0,11;
Fiji;0,00;0,00;0,00;0,05;0,29;0,29;0,35;0,37;0,35;0,35;0,40;0,40;0,41;0,41;0,43;0,45;0,45;0,45;0,44;0,47;0,51;0,54;0,56;0,44;0,47;0,44;0,45;0,59;0,58;0,53;0,48;0,52;0,58;0,58;0,48;0,47;0,54;0,55;
Finland;10,12;13,52;12,96;13,45;13,12;12,21;12,27;13,66;13,23;12,90;15,91;18,06;19,91;19,30;18,13;19,40;17,89;20,30;24,59;21,35;23,22;21,45;19,77;19,04;25,54;23,32;22,31;24,15;27,52;21,51;23,93;23,75;28,10;25,02;25,38;28,39;27,59;26,95;
France;68,91;71,06;69,67;68,20;64,90;61,00;61,80;69,50;74,80;47,25;54,43;58,09;70,17;66,04;79,98;74,39;66,83;65,87;64,18;74,99;70,03;78,20;64,57;63,44;64,31;55,98;60,69;62,56;68,85;62,58;68,36;52,29;66,21;78,45;70,89;63,42;70,14;59,53;
French Guiana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,53;0,55;0,57;0,59;0,62;0,64;0,66;0,69;0,71;0,75;0,66;0,57;0,50;0,51;0,50;0,45;0,57;
French Polynesia;0,00;0,00;0,00;0,02;0,02;0,03;0,04;0,04;0,06;0,06;0,07;0,07;0,09;0,09;0,10;0,13;0,13;0,13;0,15;0,09;0,12;0,11;0,13;0,15;0,18;0,18;0,20;0,22;0,21;0,21;0,27;0,22;0,20;0,18;0,17;0,17;0,19;0,17;
Gabon;0,26;0,41;0,48;0,54;0,60;0,66;0,67;0,67;0,67;0,69;0,70;0,71;0,72;0,71;0,75;0,79;0,77;0,81;0,81;0,83;0,80;0,88;0,92;0,90;0,89;0,81;0,94;0,80;0,89;0,94;0,91;0,84;0,91;0,94;0,80;0,92;0,95;0,90;
